child_id,parent_id,generation
27209cc0c3356b1d,f27dc337145f5e3d,1
6f730b141cd8ff13,ae21375090501c7e,1
1180e1e8038139c2,f27dc337145f5e3d,1
82f3fce74ec98490,ae21375090501c7e,1
4b707f0844df4fae,ae21375090501c7e,1
52dfac4b4f63d02e,27209cc0c3356b1d,2
0600d622c3b22f53,ac0b47c0a84bcb76,2
5bfd2489f87b2775,27209cc0c3356b1d,2
9905e5ccdb375bca,ac0b47c0a84bcb76,2
4b08e27e8b5dfb9e,82f3fce74ec98490,2
f12dd014296d1e86,4b08e27e8b5dfb9e,3
af2fd12268a0d68f,82f3fce74ec98490,3
7afa6ab730a8e6b7,82f3fce74ec98490,3
92edc9353271d1de,27209cc0c3356b1d,3
8b50e68c4b3845eb,82f3fce74ec98490,3
353e5443c9799415,f12dd014296d1e86,4
28f49b4b19ea79e3,af2fd12268a0d68f,4
f264e6a7135bcda5,af2fd12268a0d68f,4
3fee107a14fb7695,f12dd014296d1e86,4
045645b9bd1a682f,92edc9353271d1de,4
37f25f2429a65c69,f264e6a7135bcda5,5
08a4355671309f3f,f264e6a7135bcda5,5
b504ff6564aa485c,f264e6a7135bcda5,5
365a07973868e0fe,3fee107a14fb7695,5
d09cebfd28f6aa62,92edc9353271d1de,5
922c5c94b40dd552,b504ff6564aa485c,6
de71c33115ca4d4d,b504ff6564aa485c,6
113ade5003addb7c,365a07973868e0fe,6
147787a85569d4d4,37f25f2429a65c69,6
4355805d2ffeaa40,b504ff6564aa485c,6
